"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 10 02:50:20 CST 2022","Sat Dec 10 02:50:20 CST 2022","0","testcase","test_login","TestLogin","","","test_falseusername_login","错误的用户名"
"passed","Sat Dec 10 02:50:20 CST 2022","Sat Dec 10 02:50:20 CST 2022","0","testcase","test_login","TestLogin","","","test_right_login","正确的用户名密码"
